| time |reset|ARegister|DRegister|RAM64[16]|RAM64[17]|RAM64[18]|RAM64[19]|
| 0    |  0  |       0 |       0 |       3 |       5 |       2 |       0 |
| 1    |  0  |      16 |       0 |       3 |       5 |       2 |       0 |
| 2    |  0  |      16 |       3 |       3 |       5 |       2 |       0 |
| 3    |  0  |      17 |       3 |       3 |       5 |       2 |       0 |
| 4    |  0  |      17 |       8 |       3 |       5 |       2 |       0 |
| 5    |  0  |      18 |       8 |       3 |       5 |       2 |       0 |
| 6    |  0  |      18 |       6 |       3 |       5 |       2 |       0 |
| 7    |  0  |      19 |       6 |       3 |       5 |       2 |       0 |
| 8    |  0  |      19 |       6 |       3 |       5 |       2 |       6 |
| 9    |  1  |       8 |       6 |       3 |       5 |       2 |       6 |
| 9    |  0  |       8 |       6 |     234 |      12 |     100 |       6 |
| 10   |  0  |      16 |       6 |     234 |      12 |     100 |       6 |
| 11   |  0  |      16 |     234 |     234 |      12 |     100 |       6 |
| 12   |  0  |      17 |     234 |     234 |      12 |     100 |       6 |
| 13   |  0  |      17 |     246 |     234 |      12 |     100 |       6 |
| 14   |  0  |      18 |     246 |     234 |      12 |     100 |       6 |
| 15   |  0  |      18 |     146 |     234 |      12 |     100 |       6 |
| 16   |  0  |      19 |     146 |     234 |      12 |     100 |       6 |
| 17   |  0  |      19 |     146 |     234 |      12 |     100 |     146 |
| 18   |  1  |       8 |     146 |     234 |      12 |     100 |     146 |
| 18   |  0  |       8 |     146 |      30 |      20 |      10 |     146 |
| 19   |  0  |      16 |     146 |      30 |      20 |      10 |     146 |
| 20   |  0  |      16 |      30 |      30 |      20 |      10 |     146 |
| 21   |  0  |      17 |      30 |      30 |      20 |      10 |     146 |
| 22   |  0  |      17 |      50 |      30 |      20 |      10 |     146 |
| 23   |  0  |      18 |      50 |      30 |      20 |      10 |     146 |
| 24   |  0  |      18 |      40 |      30 |      20 |      10 |     146 |
| 25   |  0  |      19 |      40 |      30 |      20 |      10 |     146 |
| 26   |  0  |      19 |      40 |      30 |      20 |      10 |      40 |
