| time |reset|ARegister|DRegister|RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 |       3 |       5 |       0 |
| 1    |  0  |      16 |       0 |       3 |       5 |       0 |
| 2    |  0  |      16 |       3 |       3 |       5 |       0 |
| 3    |  0  |      17 |       3 |       3 |       5 |       0 |
| 4    |  0  |      17 |      -2 |       3 |       5 |       0 |
| 5    |  0  |      10 |      -2 |       3 |       5 |       0 |
| 6    |  0  |      10 |      -2 |       3 |       5 |       0 |
| 7    |  0  |      18 |      -2 |       3 |       5 |       0 |
| 8    |  0  |      18 |      -2 |       3 |       5 |       2 |
| 9    |  1  |      12 |      -2 |       3 |       5 |       2 |
| 9    |  0  |      12 |      -2 |     234 |      12 |       2 |
| 10   |  0  |      16 |      -2 |     234 |      12 |       2 |
| 11   |  0  |      16 |     234 |     234 |      12 |       2 |
| 12   |  0  |      17 |     234 |     234 |      12 |       2 |
| 13   |  0  |      17 |     222 |     234 |      12 |       2 |
| 14   |  0  |      10 |     222 |     234 |      12 |       2 |
| 15   |  0  |      10 |     222 |     234 |      12 |       2 |
| 16   |  0  |      18 |     222 |     234 |      12 |       2 |
| 17   |  0  |      18 |     222 |     234 |      12 |     222 |
| 18   |  1  |      12 |     222 |     234 |      12 |     222 |
| 18   |  0  |      12 |     222 |      30 |      20 |     222 |
| 19   |  0  |      16 |     222 |      30 |      20 |     222 |
| 20   |  0  |      16 |      30 |      30 |      20 |     222 |
| 21   |  0  |      17 |      30 |      30 |      20 |     222 |
| 22   |  0  |      17 |      10 |      30 |      20 |     222 |
| 23   |  0  |      10 |      10 |      30 |      20 |     222 |
| 24   |  0  |      10 |      10 |      30 |      20 |     222 |
| 25   |  0  |      18 |      10 |      30 |      20 |     222 |
| 26   |  0  |      18 |      10 |      30 |      20 |      10 |
