| time  |reset|ARegister|DRegister|RAM64[16]|RAM64[17]|
| 1     |  0  |      16 |       0 |       0 |       0 |
| 2     |  0  |      16 |       0 |       1 |       0 |
| 3     |  0  |      17 |       0 |       1 |       0 |
| 4     |  0  |      17 |       0 |       1 |       0 |
| 5     |  0  |      16 |       0 |       1 |       0 |
| 6     |  0  |      16 |       1 |       1 |       0 |
| 7     |  0  |     100 |       1 |       1 |       0 |
| 8     |  0  |     100 |     -99 |       1 |       0 |
| 9     |  0  |      18 |     -99 |       1 |       0 |
| 10    |  0  |      18 |     -99 |       1 |       0 |
| 11    |  0  |      16 |     -99 |       1 |       0 |
| 12    |  0  |      16 |       1 |       1 |       0 |
| 13    |  0  |      17 |       1 |       1 |       0 |
| 14    |  0  |      17 |       1 |       1 |       1 |
| 15    |  0  |      16 |       1 |       1 |       1 |
| 16    |  0  |      16 |       1 |       2 |       1 |
| 17    |  0  |       4 |       1 |       2 |       1 |
| 18    |  0  |       4 |       1 |       2 |       1 |
| 19    |  0  |      16 |       1 |       2 |       1 |
| 20    |  0  |      16 |       2 |       2 |       1 |
| 21    |  0  |     100 |       2 |       2 |       1 |
| 22    |  0  |     100 |     -98 |       2 |       1 |
| 23    |  0  |      18 |     -98 |       2 |       1 |
| 24    |  0  |      18 |     -98 |       2 |       1 |
| 25    |  0  |      16 |     -98 |       2 |       1 |
| 26    |  0  |      16 |       2 |       2 |       1 |
| 27    |  0  |      17 |       2 |       2 |       1 |
| 28    |  0  |      17 |       2 |       2 |       3 |
| 29    |  0  |      16 |       2 |       2 |       3 |
| 30    |  0  |      16 |       2 |       3 |       3 |
| 31    |  0  |       4 |       2 |       3 |       3 |
| 32    |  0  |       4 |       2 |       3 |       3 |
| 33    |  0  |      16 |       2 |       3 |       3 |
| 34    |  0  |      16 |       3 |       3 |       3 |
| 35    |  0  |     100 |       3 |       3 |       3 |
| 36    |  0  |     100 |     -97 |       3 |       3 |
| 37    |  0  |      18 |     -97 |       3 |       3 |
| 38    |  0  |      18 |     -97 |       3 |       3 |
| 39    |  0  |      16 |     -97 |       3 |       3 |
| 40    |  0  |      16 |       3 |       3 |       3 |
| 41    |  0  |      17 |       3 |       3 |       3 |
| 42    |  0  |      17 |       3 |       3 |       6 |
| 43    |  0  |      16 |       3 |       3 |       6 |
| 44    |  0  |      16 |       3 |       4 |       6 |
| 45    |  0  |       4 |       3 |       4 |       6 |
| 46    |  0  |       4 |       3 |       4 |       6 |
| 47    |  0  |      16 |       3 |       4 |       6 |
| 48    |  0  |      16 |       4 |       4 |       6 |
| 49    |  0  |     100 |       4 |       4 |       6 |
| 50    |  0  |     100 |     -96 |       4 |       6 |
| 51    |  0  |      18 |     -96 |       4 |       6 |
| 52    |  0  |      18 |     -96 |       4 |       6 |
| 53    |  0  |      16 |     -96 |       4 |       6 |
| 54    |  0  |      16 |       4 |       4 |       6 |
| 55    |  0  |      17 |       4 |       4 |       6 |
| 56    |  0  |      17 |       4 |       4 |      10 |
| 57    |  0  |      16 |       4 |       4 |      10 |
| 58    |  0  |      16 |       4 |       5 |      10 |
| 59    |  0  |       4 |       4 |       5 |      10 |
| 60    |  0  |       4 |       4 |       5 |      10 |
| 61    |  0  |      16 |       4 |       5 |      10 |
| 62    |  0  |      16 |       5 |       5 |      10 |
| 63    |  0  |     100 |       5 |       5 |      10 |
| 64    |  0  |     100 |     -95 |       5 |      10 |
| 65    |  0  |      18 |     -95 |       5 |      10 |
| 66    |  0  |      18 |     -95 |       5 |      10 |
| 67    |  0  |      16 |     -95 |       5 |      10 |
| 68    |  0  |      16 |       5 |       5 |      10 |
| 69    |  0  |      17 |       5 |       5 |      10 |
| 70    |  0  |      17 |       5 |       5 |      15 |
| 71    |  0  |      16 |       5 |       5 |      15 |
| 72    |  0  |      16 |       5 |       6 |      15 |
| 73    |  0  |       4 |       5 |       6 |      15 |
| 74    |  0  |       4 |       5 |       6 |      15 |
| 75    |  0  |      16 |       5 |       6 |      15 |
